word,pronunciation,sense
拐子,2ɡuǎi•zi,①一种简单的木制工具，形状略像“工”字，两头横木短，中间直木长。把丝纱等绕在横木上面，拿下来就可以成桄（ɡuànɡ）。②拐1。
拐子,3ɡuǎi•zi,拐骗人口、财物的人。
关子,ɡuān•zi,小说、戏剧情节中最紧要、最吸引人的地方，比喻事情的关键。参看913页〖卖关子〗。
冠子,ɡuān•zi,鸟类头上红色的肉质突起：鸡～。
馆子,ɡuǎn•zi,卖酒饭的店铺：下～｜吃～（到馆子里吃东西）。
管子,ɡuǎn•zi,圆而细长中间空的东西：自来水～。
罐子,ɡuàn•zi,盛流体、谷物等的器皿，一般口较大，过去多为陶瓷器，现在也有用金属、塑料等制成的：空～｜两～水。
桄子,ɡuànɡ•zi,竹木制成的绕线器具。
鬼点子,ɡuǐdiǎn•zi,坏主意；巧妙的或古怪的主意。
鬼子,ɡuǐ•zi,对侵略我国的外国人的憎称。
柜子,ɡuì•zi,柜。
辊子,ɡǔn•zi〈口〉,辊。
磙子,ɡǔn•zi,圆柱形的碾轧器具，多用石头做成，也有铁制的，用来轧场（chánɡ）、修路等。
棍子,ɡùn•zi,用树枝、竹子截成的长条形东西，也有用金属制成的。
锅烟子,ɡuōyān•zi,锅底上的烟子，可做黑色颜料。
锅子,ɡuō•zi,①〈方〉锅。②某些器物上像锅的部分：烟袋～。③火锅：涮～。
果子,ɡuǒ•zi①,指可以吃的果实。②同“馃子”。
馃子,ɡuǒ•zi,①一种油炸的面食。②〈方〉旧式点心的统称。‖也作果子。
哈喇子,hālá•zi〈方〉,流出来的口水。
孩子,hái•zi,①儿童：小～｜男～。②子女：她有两个～。
海肠子,hǎichánɡ•zi,螠。
海蛎子,hǎilì•zi,牡蛎。
海子,hǎi•zi〈方〉,湖。
蚶子,hān•zi,软体动物，壳厚而坚硬，外表淡褐色，有瓦垄状的纵线，内壁白色，边缘有锯齿。生活在海底泥沙和岩石缝隙中。肉可以吃。有泥蚶、毛蚶等。
憨子,hān•zi〈方〉,傻子。
汉子,hàn•zi,①男子。②〈方〉丈夫。
汗珠子,hànzhū•zi,成滴的汗。也叫汗珠儿。
旱鸭子,hànyā•zi,指不会游泳的人（含诙谐意）。
行子,hánɡ•zi〈方〉,称不喜爱的人或东西：我不稀罕这～。
蒿子,hāo•zi,通常指花小、叶子作羽状分裂、有某种特殊气味的草本植物。
毫子,háo•zi〈方〉①,旧时广东、广西等地区使用的一角、二角、五角的银币，二角的最常见。②量毫。
貉子,háo•zi,貉（hé）的通称。
好日子,hǎorì•zi,①吉利的日子。②办喜事的日子：你们的～定在哪一天？③美好的生活：这几年他才过上～。
号子,1hào•zi〈方〉,①记号；标志。②指监狱里关押犯人的房间，每个房间有统一编排的号码。
号子,2hào•zi,集体劳动中协同用力时，为统一步调、减轻疲劳等所唱的歌，大都由一人领唱，大家应和。
耗子,hào•zi〈方〉,老鼠。
合子,hé•zi,类似馅儿饼的一种食品。
河汊子,héchà•zi,大河旁出的小河。
盒子,hé•zi,①盛东西的器物，一般比较小，用纸糊成或用木板、金属、塑料等制成，大多有盖，有的是抽屉式。②一种烟火，外形像盒子。
黑瞎子,hēixiā•zi〈方〉,黑熊。
红帽子,hónɡmào•zi,①在白色恐怖时期，进步人士被反动派指为共产党员或与共产党有联系，叫做被戴上红帽子。②称火车站上装卸货物、搬运行李的工人，他们工作时头戴红色帽子。
红模子,hónɡmú•zi,供儿童练习毛笔字用的纸，印有红色的字，用墨笔顺着红字的笔画摹写。
猴子,hóu•zi,猴的通称。
胡子,hú•zi,①嘴周围和连着鬓角长的毛。②〈方〉胡匪。
瓠子,hù•zi,瓠瓜。
花池子,huāchí•zi,庭园中四周矮栏围绕、中间种植花草的地方。
花点子,huādiǎn•zi,①欺骗人的狡猾手段、计策等。②不切实际的主意。
花架子,huājià•zi,①指花哨而不实用的武术动作。②比喻外表好看但缺少实用价值的东西，也指形式主义的做法：工作要讲实效，不要做表面文章，摆～。
花儿洞子,huārdònɡ•zi,一半在地面以下的养花的温室。
花儿样子,huāryànɡ•zi,绣花用的底样。
花子,huā•zi,乞丐。也作化子。
划子,huá•zi,用桨拨水行驶的小船。
话匣子,huàxiá•zi〈方〉,①原指留声机，后来也指收音机。②比喻话多的人。③（话多的人）开始没完没了地说话叫打开话匣子。
环子,huán•zi,圆圈形的东西：门～。
耠子,huō•zi,翻松土壤用的农具，比犁轻巧，多用于中耕。也用来开沟播种。
豁子,huō•zi〈方〉,①豁口：碗上有个～。②指豁嘴的人。
活局子,huójú•zi〈方〉,圈套；骗局。
火筷子,huǒkuài•zi,夹炉中煤炭或通火的用具，用铁制成，形状像两根筷子，一端由铁链子连起来。有的地区叫火箸。
货架子,huòjià•zi,①商店里放货物的架子。②自行车的座子后面的架子。
镬子,huò•zi〈方〉,锅。
机子,jī•zi〈口〉,①指某些机械或装置，如织布机、电话机、计算机等。②枪上的扳机。
鸡子,jī•zi〈方〉,鸡。
急性子,jíxìnɡ•zi①形性情急躁：～人。②,性情急躁的人：他是个～，总要一口气把话说完。
集子,jí•zi,把许多单篇著作或单张作品收集在一起编成的书：这个～里一共有二十篇小说。
虮子,jǐ•zi,虱子的卵。
剂子,jì•zi,做馒头、饺子等的时候，从和（huó）好了的长条形的面上分出来的小块儿。
穄子,jì•zi,①一年生草本植物，形状跟黍子相似，但子实不黏。②这种植物的子实。‖也叫糜子（méi•zi）。
夹子,jiā•zi,夹东西的器具：头发～｜讲义～｜把文件放在～里。
家子,jiā•zi〈口〉,家庭；人家：这～有八口人，相处得很和睦｜那边好几～都是新搬来的。
假嗓子,jiǎsǎnɡ•zi,歌唱时使用的非本嗓发出的嗓音。
假小子,jiǎxiǎo•zi,指性格泼辣、举止大胆奔放像男子的女孩子。
架子,jià•zi,①由若干材料纵横交叉地构成的东西，用来放置器物、支撑物体或安装工具等：花瓶～｜骨头～｜保险刀的～。②比喻事物的组织、结构：写文章要先搭好～。③自高自大、装腔作势的作风：官～｜拿～｜那位局长一点儿～都没有。④架势；姿势：锄地有锄地的～，一拿锄头就看出他是内行。
茧子,1jiǎn•zi〈方〉,蚕茧。
趼子,jiǎn•zi,手掌、脚掌等部位因摩擦而生成的硬皮。也作茧子。也说老趼。
剪子,jiǎn•zi,剪刀。
毽子,jiàn•zi,游戏用具，用布等把铜钱或金属片包扎好，然后装上鸡毛。游戏时，用脚连续向上踢，不让落地。
腱子,jiàn•zi,人身上或牛羊等小腿上肌肉发达的部分。
箭靶子,jiànbǎ•zi,练习射箭时用作目标的东西。
箭垛子,jiànduò•zi,①女墙。②箭靶子。
耩子,jiǎnɡ•zi〈方〉,耧。
糨子,jiànɡ•zi〈口〉,糨糊：打～。
嚼子,jiáo•zi,为便于驾驭，横放在牲口嘴里的小铁链，两端连在笼头上。
饺子,jiǎo•zi,半圆形的有馅儿的面食。
脚脖子,jiǎobó•zi〈方〉,脚腕子。
脚腕子,jiǎowàn•zi,小腿和脚连接的部分。也叫脚腕儿、腿腕子。
脚丫子,jiǎoyā•zi〈方〉,脚。也作脚鸭子。
叫花子,（叫化子）jiàohuā•zi〈口〉,乞丐。
叫子,jiào•zi〈方〉,哨儿。
轿子,jiào•zi,旧时的交通工具，方形，用竹子或木头制成，外面套着帷子，两边各有一根杆子，由人抬着走或由骡马驮着走：坐～｜抬～。
酵子,jiào•zi〈方〉,含有酵母菌的面团。也叫引酵。
节子,jiē•zi,木材上的疤痕，是树木的分枝砍去后在干枝上留下的疤。
疖子,jiē•zi,皮肤病，由葡萄球菌或链状菌侵入毛囊内引起。症状是局部出现充血硬块，化脓，红肿，疼痛。
结子,jié•zi,结。
金点子,jīndiǎn•zi,指极具价值的主意、办法。
金嗓子,jīnsǎnɡ•zi,指音色清脆、圆润悦耳的歌喉。
金子,jīn•zi,金1的通称。
妗子,jìn•zi〈口〉,①舅母。②妻兄、妻弟的妻子：大～｜小～。
禁子,jìn•zi,旧时称在牢狱中看守罪犯的人。也叫禁卒。
京油子,jīnɡyóu•zi,指久住北京老于世故而油滑的人。
镜子,jìnɡ•zi,①有光滑的平面，能照见形象的器具，古代用铜铸厚圆片磨制，现在用平面玻璃镀银或镀铝做成：照～。②〈口〉眼镜：戴～。
舅子,jiù•zi〈口〉,妻子的弟兄：大～｜小～。
驹子,jū•zi,初生或不满一岁的骡、马、驴：马～。
锔子,jū•zi,用铜或铁打成的扁平的两脚钉，用来连接破裂的陶瓷等器物。
局子,1jú•zi〈口〉,①旧时指警察局。②指镖局、拳局等。
局子,2jú•zi,圈套（多见于早期白话）。
橘子,jú•zi,①橘子树。②橘子树的果实。
句子,jù•zi,用词和词组构成的、能够表达完整意思的语言单位。每个句子都有一定的语调，表示陈述、疑问、祈使或感叹的语气。在连续说话时，句子和句子中间有一个较大的停顿。在书面上每个句子的末尾用句号、问号或叹号。
锯子,jù•zi,锯。
卷子,juǎn•zi,一种面食，和（ｈuó）面制成薄片，一面涂上油盐，再卷起蒸熟。
卷子,juàn•zi,①考试写答案的薄本子或单页纸；试卷：发～｜改～。②指可以卷起来的古抄本：敦煌～。
绢子,juàn•zi〈方〉,手绢儿。
橛子,jué•zi,短木桩：木头～。
菌子,jūn•zi〈方〉,蕈（xùn）。
坎子,kǎn•zi,地面高起的地方：土～。
铐子,kào•zi〈方〉,手铐。
棵子,kē•zi〈方〉,植物的茎和枝叶（多指庄稼的）：青～｜树～｜玉米～长得很高。
锞子,kè•zi,旧时作货币用的小金锭或银锭。
